#x Curve1
0 0.997812
0.00803859 0.997812
0.0160772 0.997812
0.0273312 0.997812
0.0385852 1.00438
0.0466238 1.00438
0.0546624 1.01094
0.0643087 1.01094
0.073955 1.01751
0.0819936 1.01751
0.0900322 1.01751
0.0980707 1.01751
0.106109 1.02407
0.11254 1.02407
0.120579 1.02407
0.130225 1.03063
0.139871 1.03063
0.14791 1.0372
0.155949 1.0372
0.162379 1.0372
0.16881 1.0372
0.176849 1.0372
0.184887 1.04376
0.192926 1.05033
0.199357 1.05033
0.205788 1.05033
0.212219 1.05689
0.217042 1.05689
0.223473 1.05689
0.231511 1.06346
0.237942 1.06346
0.247588 1.07002
0.255627 1.07659
0.263666 1.07659
0.270096 1.08315
0.27492 1.08315
0.28135 1.08315
0.287781 1.08972
0.29582 1.08972
0.302251 1.08972
0.308682 1.09628
0.315113 1.09628
0.321543 1.10284
0.329582 1.10284
0.334405 1.10941
0.342444 1.11597
0.350482 1.12254
0.358521 1.12254
0.364952 1.1291
0.371383 1.1291
0.377814 1.13567
0.384244 1.13567
0.389068 1.14223
0.393891 1.14223
0.395498 1.16193
0.398714 1.17505
0.401929 1.16849
0.406752 1.16193
0.409968 1.14223
0.413183 1.1291
0.416399 1.10941
0.419614 1.08972
0.42283 1.07659
0.427653 1.06346
0.432476 1.06346
0.437299 1.07002
0.438907 1.09628
0.440514 1.10941
0.44373 1.1291
0.445338 1.14223
0.446945 1.16849
0.448553 1.18818
0.450161 1.21444
0.453376 1.2407
0.454984 1.25383
0.458199 1.27352
0.459807 1.28665
0.461415 1.30635
0.463023 1.31947
0.466238 1.3326
0.471061 1.3326
0.474277 1.3326
0.477492 1.32604
0.480707 1.31291
0.485531 1.28665
0.487138 1.26696
0.490354 1.24726
0.493569 1.21444
0.495177 1.18162
0.498392 1.16193
0.501608 1.1291
0.504823 1.08315
0.508039 1.07002
0.509646 1.05689
0.512862 1.05033
0.517685 1.04376
0.5209 1.04376
0.522508 1.05689
0.524116 1.08315
0.527331 1.10284
0.528939 1.12254
0.530547 1.1488
0.532154 1.16849
0.533762 1.18818
0.536977 1.23414
0.538585 1.26039
0.541801 1.28009
0.545016 1.32604
0.546624 1.35886
0.548232 1.39825
0.551447 1.41138
0.554662 1.43107
0.55627 1.45733
0.559486 1.47046
0.561093 1.49015
0.565916 1.49672
0.567524 1.49672
0.572347 1.49672
0.575563 1.48359
0.578778 1.47046
0.581994 1.45733
0.585209 1.43107
0.588424 1.39168
0.59164 1.36543
0.593248 1.34573
0.596463 1.31947
0.599678 1.28665
0.601286 1.26039
0.604502 1.23414
0.606109 1.21444
0.609325 1.18818
0.61254 1.15536
0.615756 1.13567
0.618971 1.12254
0.622186 1.10284
0.625402 1.08972
0.630225 1.08315
0.635048 1.08972
0.636656 1.11597
0.638264 1.13567
0.639871 1.15536
0.641479 1.16849
0.644695 1.19475
0.646302 1.21444
0.64791 1.2407
0.649518 1.27352
0.651125 1.29322
0.652733 1.31291
0.654341 1.33917
0.657556 1.37199
0.659164 1.40481
0.660772 1.47046
0.662379 1.48359
0.663987 1.50328
0.665595 1.54923
0.667203 1.56893
0.66881 1.58206
0.670418 1.60832
0.672026 1.62801
0.673633 1.66083
0.675241 1.68709
0.676849 1.70678
0.678457 1.72648
0.681672 1.75274
0.684887 1.76586
0.688103 1.78556
0.689711 1.80525
0.691318 1.81838
0.692926 1.83807
0.699357 1.84464
0.705788 1.84464
0.709003 1.83151
0.712219 1.81182
0.715434 1.79869
0.71865 1.77243
0.721865 1.75274
0.72508 1.72648
0.728296 1.69365
0.729904 1.6674
0.733119 1.6477
0.734727 1.61488
0.736334 1.58862
0.73955 1.5558
0.742765 1.52954
0.745981 1.50328
0.747588 1.46389
0.749196 1.4442
0.750804 1.41794
0.754019 1.39168
0.755627 1.36543
0.758842 1.33917
0.76045 1.32604
0.762058 1.29978
0.765273 1.27352
0.768489 1.24726
0.770096 1.22757
0.773312 1.21444
0.776527 1.18818
0.779743 1.16193
0.782958 1.1488
0.787781 1.13567
0.794212 1.13567
0.79582 1.1488
0.797428 1.16849
0.800643 1.18162
0.803859 1.23414
0.807074 1.29322
0.807074 1.29322
0.808682 1.31947
0.810289 1.3523
0.811897 1.47046
0.811897 1.47046
0.815113 1.49672
0.815113 1.49672
0.81672 1.60832
0.81672 1.60832
0.818328 1.6674
0.819936 1.70022
0.821543 1.73304
0.823151 1.79869
0.823151 1.79869
0.824759 1.8512
0.826367 1.89059
0.827974 1.96937
0.827974 1.96937
0.829582 2.00875
0.83119 2.0744
0.832797 2.14661
0.834405 2.186
0.836013 2.29103
0.836013 2.29103
0.837621 2.36324
0.839228 2.40263
0.840836 2.42888
0.842444 2.52735
0.842444 2.52735
0.844051 2.56018
0.845659 2.61926
0.845659 2.61926
0.847267 2.69803
0.848875 2.71772
0.848875 2.71772
0.850482 2.80306
0.850482 2.80306
0.85209 2.89497
0.853698 2.86871
0.855305 2.97374
0.856913 3.00656
0.858521 3.07221
0.858521 3.07221
0.860129 3.12473
0.861736 3.18381
0.863344 3.28228
0.863344 3.28228
0.864952 3.34792
0.866559 3.38074
0.866559 3.38074
0.868167 3.45952
0.868167 3.45952
0.869775 3.51204
0.871383 3.53829
0.87299 3.63676
0.87299 3.63676
0.874598 3.65646
0.876206 3.76149
0.876206 3.76149
0.877814 3.79431
0.879421 3.82713
0.881029 3.85339
0.881029 3.85339
0.882637 3.91904
0.884244 4.00438
0.884244 4.00438
0.885852 4.05689
0.88746 4.08315
0.889068 4.15536
0.889068 4.15536
0.890675 4.18818
0.892283 4.29322
0.892283 4.29322
0.893891 4.26696
0.895498 4.3523
0.895498 4.3523
0.897106 4.41138
0.898714 4.4442
0.898714 4.4442
0.901929 4.51641
0.901929 4.51641
0.903537 4.58862
0.905145 4.65427
0.905145 4.65427
0.906752 4.71335
0.90836 4.73961
0.909968 4.7593
0.911576 4.79212
0.914791 4.8512
0.914791 4.8512
0.916399 4.92998
0.918006 4.94311
0.918006 4.94311
0.919614 5.01532
0.921222 5.04814
0.92283 5.10066
0.924437 5.12691
0.927653 5.186
0.927653 5.186
0.92926 5.23851
0.930868 5.26477
0.932476 5.29759
0.934084 5.31729
0.937299 5.37637
0.938907 5.40263
0.940514 5.42888
0.942122 5.44858
0.94373 5.47484
0.946945 5.50766
0.950161 5.54048
0.954984 5.56674
0.956592 5.593
0.961415 5.59956
0.96463 5.593
0.969453 5.60613
0.975884 5.593
0.9791 5.5733
0.982315 5.56018
0.985531 5.54048
0.987138 5.50766
0.990354 5.48796
0.991961 5.46171
0.995177 5.42888
0.996785 5.40263
1 5.37637
1.00161 5.35011
1.00322 5.32385
1.00482 5.30416
1.00643 5.25164
1.00804 5.22538
1.01125 5.20569
1.01447 5.15317
1.01608 5.12691
1.01768 5.10066
1.01929 5.06783
1.0209 5.04814
1.02251 5.00219
1.02412 4.97593
1.02572 4.94967
1.02733 4.91028
1.02894 4.8709
1.03055 4.84464
1.03215 4.81182
1.03537 4.78556
1.03537 4.78556
1.03698 4.70022
1.03859 4.67396
1.04019 4.6477
1.0418 4.61488
1.04341 4.58206
1.04662 4.5558
1.04823 4.49672
1.04984 4.47046
1.05145 4.4442
1.05466 4.38512
1.05466 4.38512
1.05627 4.33917
1.05949 4.29322
1.05949 4.29322
1.06109 4.22101
1.0627 4.20131
1.06431 4.16849
1.06431 4.16849
1.06592 4.10941
1.06752 4.07659
1.06913 4.05033
1.07074 4.02407
1.07235 3.99125
1.07395 3.9453
1.07717 3.91247
1.07878 3.85339
1.08039 3.82713
1.08199 3.80088
1.0836 3.76149
1.08521 3.71554
1.08682 3.68271
1.09003 3.63676
1.09003 3.63676
1.09164 3.57768
1.09325 3.55142
1.09486 3.51204
1.09646 3.46608
1.09807 3.43982
1.09968 3.407
1.10129 3.38074
1.10289 3.36105
1.1045 3.33479
1.10611 3.3151
1.10772 3.28884
1.10932 3.26915
1.11093 3.23632
1.11254 3.2035
1.11415 3.16411
1.11576 3.13786
1.11736 3.1116
1.11897 3.06565
1.12058 3.03282
1.12219 2.99344
1.12379 2.97374
1.1254 2.94092
1.12862 2.92123
1.13023 2.90153
1.13344 2.84902
1.13344 2.84902
1.13666 2.78337
1.13666 2.78337
1.13826 2.73085
1.13987 2.71116
1.14148 2.6849
1.14309 2.65864
1.1463 2.63895
1.14791 2.5733
1.15113 2.54705
1.15273 2.50109
1.15434 2.48796
1.15595 2.46171
1.15756 2.44201
1.16077 2.40263
1.16238 2.37637
1.16399 2.35667
1.16559 2.32385
1.1672 2.29759
1.16881 2.27133
1.17203 2.25164
1.17363 2.21882
1.17524 2.19256
1.17685 2.1663
1.18006 2.14004
1.18328 2.11379
1.18489 2.08096
1.1881 2.04814
1.18971 2.00875
1.19293 1.97593
1.19453 1.95624
1.19614 1.93654
1.19936 1.91685
1.20096 1.87746
1.20418 1.85777
1.2074 1.83151
1.209 1.80525
1.21222 1.78556
1.21543 1.75274
1.21865 1.72648
1.22026 1.69365
1.22347 1.67396
1.22669 1.6477
1.2283 1.62144
1.23151 1.60832
1.23473 1.58862
1.23633 1.56893
1.23955 1.54267
1.24277 1.52298
1.24598 1.50328
1.2492 1.47702
1.25241 1.45733
1.25563 1.43764
1.25884 1.41794
1.26045 1.39825
1.26527 1.38512
1.26849 1.36543
1.27331 1.34573
1.27814 1.31947
1.28296 1.29978
1.28778 1.28665
1.2926 1.27352
1.29743 1.26039
1.30064 1.25383
1.30707 1.2407
1.3119 1.22757
1.31672 1.22101
1.32154 1.21444
1.32637 1.20788
1.33441 1.20131
1.34405 1.20131
1.35209 1.20131
1.36013 1.20131
1.36656 1.20131
1.37299 1.20131
1.37942 1.20788
1.38746 1.21444
1.39228 1.21444
1.39871 1.21444
1.40675 1.22101
1.41318 1.22101
1.42122 1.22101
1.42765 1.22101
1.43408 1.22757
1.43891 1.22101
1.44695 1.22101
1.45498 1.21444
1.46302 1.20788
1.47106 1.20131
1.4791 1.19475
1.48392 1.19475
1.49035 1.18818
1.49678 1.18162
1.50161 1.16849
1.50482 1.16193
1.51125 1.15536
1.51768 1.1488
1.52733 1.14223
1.53376 1.13567
1.53859 1.12254
1.54662 1.10941
1.55305 1.09628
1.56109 1.08315
1.56592 1.07002
1.57074 1.05689
1.57717 1.05033
1.5836 1.0372
1.59003 1.03063
1.59325 1.01751
1.59807 1.00438
1.6045 0.997812
1.60932 0.984683
1.61576 0.971554
1.62219 0.958425
1.62862 0.945295
1.63505 0.938731
1.63987 0.925602
1.64469 0.912473
1.65113 0.899344
1.65756 0.886214
1.66399 0.873085
1.66881 0.859956
1.67524 0.853392
1.68006 0.840263
1.68489 0.827133
1.68971 0.820569
1.69453 0.80744
1.70257 0.800875
1.709 0.781182
1.71704 0.768053
1.72347 0.754923
1.7299 0.741794
1.73633 0.728665
1.74277 0.715536
1.7508 0.702407
1.75884 0.695842
1.76527 0.682713
1.77331 0.669584
1.78135 0.656455
1.78778 0.649891
1.79421 0.636761
1.80064 0.623632
1.81029 0.617068
1.81672 0.610503
1.82476 0.59081
1.8328 0.584245
1.83923 0.571116
1.84727 0.564551
1.85531 0.557987
1.86174 0.551422
1.86817 0.544858
1.87621 0.538293
1.88103 0.531729
1.88746 0.531729
1.8955 0.525164
1.90354 0.5186
1.91318 0.512035
1.92122 0.50547
1.92765 0.498906
1.93408 0.498906
1.94051 0.492341
1.94695 0.485777
1.9582 0.479212
1.96463 0.479212
1.97106 0.479212
1.97749 0.472648
1.98553 0.472648
1.99035 0.472648
1.99518 0.472648
2 0.472648
